person_id,city,credit_card,amount,product_id,quantity,price,transactions
86,CityA,9709317257389857,95.7,7,9,240.37,8
87,CityB,1757834431873281,471.46,97,2,259.97,7
88,CityC,4807670830975177,158.55,89,7,251.71,19
89,CityE,5604991351927575,157.68,1,3,293.07,5
90,CityC,5229139267749897,372.12,81,5,299.79,5
91,CityA,4715199316109899,948.85,2,6,266.26,7
92,CityD,5958560183807487,974.5,50,2,366.29,8
93,CityC,3970556338256433,117.42,5,9,492.73,2
94,CityC,1615579411948841,159.45,56,5,442.21,2
95,CityA,8533618479862950,514.77,74,6,332.24,2
96,CityB,4075828164689930,493.79,89,9,359.18,12
97,CityA,4510960911802313,957.16,64,5,357.17,18
98,CityC,1093191369510500,210.03,50,1,99.28,17
99,CityC,3583307107190658,204.16,74,4,214.98,11
100,CityD,7854315026976124,949.87,94,5,250.01,5
101,CityC,4228879780569260,818.89,29,5,464.54,3
102,CityD,4354901578371260,921.8,48,3,199.47,17
103,CityC,1779554038770168,269.26,100,7,456.06,6
104,CityB,5979758840231964,498.9,40,7,143.58,1
105,CityC,3864515317754292,281.86,76,9,215.76,5
106,CityD,3771525973730485,676.48,99,6,275.98,4
107,CityD,2160676612783986,899.88,71,4,172.36,6
108,CityD,5813703175621180,202.24,28,6,465.7,19
109,CityC,2691791193904849,183.12,67,4,38.24,9
110,CityD,1462460130310145,219.09,32,5,375.87,1
111,CityE,7176576977466121,592.06,60,1,370.84,4
112,CityB,1728293761121675,982.46,29,1,321.31,6
113,CityC,2461163253520837,923.55,27,5,140.54,12
114,CityD,6493992759157032,255.44,16,2,34.24,3
115,CityB,2193656551704924,864.73,35,6,43.86,14
116,CityC,9313199114570530,844.68,70,3,303.72,8
117,CityB,8438840945868995,737.74,58,3,363.91,10
118,CityE,2974807963028485,353.37,68,9,306.48,11
119,CityC,5894124263446148,494.87,65,4,365.33,7
120,CityD,7747385360010735,668.77,49,3,420.72,14
121,CityA,6570589065970001,636.94,14,3,79.53,8
122,CityD,5489660509206497,722.53,82,7,241.34,12
123,CityC,9078386728914651,73.6,66,9,419.24,7
124,CityD,9550927356400047,327.63,61,8,238.52,9
125,CityA,5096862669697616,417.8,62,1,321.51,4
126,CityA,1638547881700537,988.58,51,1,46.89,7
127,CityA,1046734127290543,756.91,54,5,200.56,8
128,CityD,6399455271018052,147.39,15,1,162.56,4
129,CityC,2827208633374952,617.21,41,8,224.25,3
130,CityD,5517639383616219,402.53,87,9,299.31,8
131,CityA,6763268846349926,911.77,84,3,265.47,13
132,CityE,3062956286757836,938.5,97,8,323.48,10
133,CityA,1655315703946280,284.39,93,9,453.15,3
134,CityA,9801445540541903,472.75,31,5,356.85,11
135,CityC,5301658672585971,201.97,2,8,427.86,14
136,CityD,5622262629865778,822.93,75,9,87.51,4
137,CityC,3359153553021962,240.37,14,1,46.38,13
138,CityD,2486267752936457,303.56,53,9,103.46,14
139,CityA,4318588176808641,18.95,17,7,370.74,18
140,CityA,1719350463944611,137.53,26,7,345.23,8
141,CityA,9782652522761822,536.61,18,8,38.87,15
142,CityD,8618865434164932,849.77,88,5,70.34,12
143,CityA,9171246290257022,24.72,44,8,423.95,19
144,CityC,2092815973195469,198.72,74,2,49.05,6
145,CityC,6514506215158831,256.13,83,8,148.93,5
146,CityA,4762734137578741,426.34,45,6,184.79,17
147,CityE,8477692094118291,346.57,61,4,142.81,15
148,CityD,6144832956786415,899.85,100,9,361.37,14
149,CityE,5411426111905618,138.38,43,6,53.81,15
150,CityA,5070159912608165,204.54,52,4,19.74,18
151,CityE,2137264554108909,869.37,40,1,180.74,4
152,CityD,1818299908873494,65.72,30,4,32.94,3
153,CityD,1472831197780877,893.92,72,3,223.91,14
154,CityE,2176633153734700,212.85,79,6,300.14,14
155,CityB,9124728532937964,450.61,23,1,284.28,13
156,CityD,4430550526969960,620.03,76,1,142.93,18
157,CityA,7393079076130638,777.9,97,4,39.44,8
158,CityA,9616362264025269,513.7,37,7,68.83,3
159,CityA,9042787879953144,999.52,4,8,204.99,9
160,CityB,1938845641179917,953.37,74,2,456.34,3
161,CityA,7971994872794198,918.19,26,1,362.63,15
162,CityE,5260240692247885,161.05,80,5,277.1,13
163,CityB,7947300645528869,628.68,89,3,34.77,2
164,CityD,9024643571703150,410.06,12,3,102.9,5
165,CityB,9923833326547493,80.74,47,8,275.28,19
166,CityA,8457959551399029,626.01,82,5,170.73,9
167,CityA,8732302028443749,653.45,26,1,248.86,10
168,CityE,9273423622429379,966.38,51,9,235.96,8
169,CityD,4501621335138718,391.11,57,3,142.49,18
170,CityD,7951991527669895,912.31,18,4,395.25,11
171,CityB,5762466806730426,366.95,40,7,108.41,19
172,CityA,5540725490262784,880.12,99,6,389.43,11
173,CityA,1557591941639121,255.93,32,8,313.68,4
174,CityB,1593256518502743,146.94,32,6,338.27,13
175,CityC,9832697091591428,474.77,15,5,200.63,13
176,CityA,9960575172857141,573.41,25,3,242.87,2
177,CityD,9437321756418658,669.4,88,2,315.68,17
178,CityB,1034114002087981,985.88,26,1,473.45,13
179,CityB,3521266344349271,505.19,78,7,154.24,8
180,CityE,4349082241635400,41.5,99,5,257.42,14
181,CityA,5609094860770068,303.17,6,7,35.16,14
182,CityA,1966161865607081,440.58,15,4,272.06,6
183,CityD,8762682417355163,770.56,56,2,182.52,4
184,CityC,8706838731792471,167.65,63,2,102.81,15
185,CityD,6117284296400135,357.98,65,8,417.55,17
186,CityC,2221314012670809,91.3,64,1,333.93,7
187,CityE,4051055560038449,476.97,26,7,12.86,19
188,CityD,7016698335266947,292.71,77,4,388.68,13
189,CityD,4477278453670367,675.25,66,7,395.4,9
190,CityA,8486762605294471,762.51,72,6,316.58,11
191,CityD,3221302859746611,738.24,78,1,446.87,10
192,CityA,4984050499009751,338.85,46,8,132.11,9
193,CityE,9751854825577026,225.85,26,9,131.48,2
194,CityC,8863861763157725,401.47,74,9,397.93,17
195,CityD,9082967464108844,17.15,25,5,127.69,16
196,CityE,2309893051715208,295.66,63,8,410.68,10
197,CityA,1252275908957490,417.8,51,2,178.28,17
198,CityC,1729377934146044,274.39,28,4,336.95,4
199,CityD,8509101822356617,139.2,22,7,353.09,12
200,CityD,7552104024275538,243.43,55,9,276.17,13
201,CityB,9463699069475854,239.56,76,9,251.59,5
202,CityD,5473060116854998,481.82,82,8,86.07,16
203,CityE,3563613583442577,293.56,31,6,81.59,13
204,CityD,1980611694724995,458.46,56,2,44.19,15
205,CityD,4027515150897236,236.57,54,7,241.35,17
206,CityB,9119298338854924,436.94,19,8,428.07,15
207,CityB,3511225776126875,907.03,49,4,367.25,13
208,CityB,8081216355977013,913.6,22,2,232.12,5
209,CityD,2497709114871490,37.83,4,9,160.27,16
210,CityC,2318442766991005,298.15,79,3,66.56,6
211,CityC,6313295114908612,506.84,18,7,210.97,7
212,CityE,2347335616002680,506.55,90,6,12.42,4
213,CityD,9783685328729161,436.36,37,1,257.58,10
214,CityB,2945935016084435,557.66,97,2,125.03,16
215,CityC,7883600979791291,239.41,92,4,399.5,10
216,CityD,1473990316040396,297.49,24,5,461.71,2
217,CityB,6082081236518234,884.13,47,9,361.62,3
218,CityE,1159059822412791,928.37,93,6,82.76,14
219,CityC,7909289203822479,145.2,85,6,27.29,15
220,CityC,3462699789029010,737.76,60,7,307.55,7
221,CityA,4596813003505045,833.79,81,9,135.09,8
222,CityB,2537691018508524,501.04,20,7,322.2,15
223,CityA,8164883904091787,832.95,89,8,407.96,15
224,CityE,5804726905280464,808.29,7,3,55.98,4
225,CityA,3384029511881770,537.28,24,3,88.54,15
226,CityD,2019097305783540,854.37,33,5,141.24,11
227,CityC,2742925427907822,891.97,14,2,28.45,17
228,CityA,2196573038022592,285.26,97,3,286.31,14
229,CityA,5188537730498666,884.18,94,4,163.34,6
230,CityB,6582290561167024,460.16,10,8,415.64,19
231,CityB,8409335400599993,108.42,23,7,220.0,12
232,CityA,2719912686635478,87.31,72,6,394.0,18
233,CityD,6496148216670922,442.48,30,6,434.55,3
234,CityA,4248549029684392,633.08,44,3,432.29,6
235,CityD,6744800930593904,626.41,33,7,183.74,13
236,CityA,1652271790744206,391.66,79,2,221.4,10
237,CityE,8594445775073576,585.34,52,7,489.3,8
238,CityE,5255679666350434,924.38,69,5,64.44,8
239,CityA,6500933729448201,318.14,31,3,33.6,13
240,CityB,5080777678265762,487.77,19,1,68.68,17
241,CityD,1179419381428970,504.36,97,8,380.29,15
242,CityE,9875177146259589,526.82,25,2,184.36,2
243,CityD,3366854549002759,288.89,93,3,44.1,7
244,CityC,9312149561657368,914.71,85,8,206.65,16
245,CityB,9317869777688020,921.69,90,3,53.45,2
246,CityB,3374687855625630,842.72,56,4,245.74,7
247,CityC,8286045287526259,335.45,20,8,440.66,13
248,CityB,5616984458525412,925.92,33,8,417.49,9
249,CityE,3194094428992001,561.59,63,2,212.12,6
250,CityC,2424530132259600,182.33,19,1,437.92,18
251,CityE,1217138835244544,639.5,43,8,410.97,3
252,CityE,7907158631967020,128.88,12,4,211.1,6
253,CityC,2383670537005151,948.41,19,1,81.95,3
254,CityD,3648948587198622,386.29,22,3,220.22,8
255,CityD,8565981662846688,970.87,63,5,422.85,4
256,CityB,8627266022906983,114.11,5,5,250.89,16
257,CityC,2385764804663238,624.69,83,5,36.32,1
258,CityE,4341118604798624,621.7,8,3,463.87,7
259,CityD,8888503295765146,462.31,45,7,221.03,1
260,CityD,1244417186670194,318.25,64,6,355.57,19
261,CityB,3567978122316537,30.47,31,6,314.53,9
262,CityB,1760621505211791,818.51,33,8,152.9,5
263,CityB,2525689069089387,248.0,53,5,410.92,9
264,CityB,4810303623489965,992.01,25,4,454.17,3
265,CityC,5915889722828185,414.43,93,3,73.32,13
266,CityA,4055947245337739,268.32,23,9,362.87,5
267,CityD,2123990114287832,159.86,20,6,375.34,15
268,CityB,6522030631112295,372.11,88,8,153.88,19
269,CityE,1339104406447449,479.75,94,6,83.58,2
270,CityD,7745193620000386,984.89,42,9,385.84,3
271,CityB,3233085310478589,725.11,44,2,58.09,16
272,CityB,4774633268280051,245.87,52,4,371.65,8
273,CityC,9338848598709710,390.37,10,5,412.37,2
274,CityA,7486259031652833,70.12,33,2,470.89,6
275,CityA,1360329484355239,859.97,56,5,255.72,9
276,CityC,2637984500604342,893.07,15,9,117.7,10
277,CityE,9745918058064906,744.14,52,9,366.0,17
278,CityA,7551081784096567,93.14,67,4,495.46,8
279,CityE,6848560245850118,516.67,61,3,199.84,16
280,CityD,4946333621254150,787.17,2,7,436.41,18
281,CityD,5355832919980704,961.94,47,2,144.52,7
282,CityA,8281199454604170,143.88,96,1,118.7,10
283,CityA,6016030412688408,628.58,19,4,423.92,4
284,CityD,6799414382275144,721.33,92,8,353.31,10
285,CityD,1764336504846977,434.07,60,4,223.19,1
286,CityA,2231414841350153,341.85,76,9,473.85,1
287,CityD,8739521269760817,910.12,59,6,190.29,4
288,CityA,6972307739906301,31.75,47,8,478.98,5
289,CityC,5001072481389590,125.47,100,3,370.57,1
290,CityB,9831348431349733,819.7,16,8,204.24,8
291,CityA,9319507615660123,233.76,84,5,441.38,2
292,CityE,7267610149524937,931.72,58,2,135.03,6
293,CityA,8948477143305362,386.39,5,1,12.21,3
294,CityD,3732502542187364,63.25,42,7,14.59,3
295,CityE,4469898308588365,40.66,57,2,30.09,5
296,CityE,2767992162581089,875.83,7,6,306.24,15
297,CityB,1688999528103573,990.43,51,1,353.67,2
298,CityA,8609993957643459,420.74,13,6,402.7,7
299,CityC,3903164831817083,61.57,63,4,187.41,1
300,CityE,9301827403451518,16.33,28,8,99.51,16
301,CityE,5727107561308658,539.28,58,5,198.03,15
302,CityC,1541724233013029,965.82,18,8,261.2,8
303,CityE,5290514830231338,815.35,9,9,241.01,9
304,CityD,5299419376100150,163.84,39,3,396.71,2
305,CityC,9548972854281814,234.72,79,9,228.99,17
306,CityD,3075613606753849,651.96,94,7,147.34,11
307,CityA,1443485196696547,594.73,40,4,409.7,19
308,CityA,3178946814993002,606.22,63,3,114.11,17
309,CityA,6847713984980839,311.13,33,1,499.62,7
310,CityD,1295867809687786,67.03,17,7,392.62,8
311,CityE,2731692457899227,943.78,59,9,295.67,16
312,CityE,1535578919120904,670.92,30,2,391.51,5
313,CityC,1152465229752481,199.41,56,4,218.99,2
314,CityC,8400873401053888,935.35,51,7,121.44,2
315,CityE,7307824333499027,659.98,64,7,320.95,3
316,CityB,4174300151914522,256.25,90,2,446.48,4
317,CityD,5805149412563986,249.51,91,8,323.44,7
318,CityD,4827544865447626,753.07,73,8,449.06,2
319,CityD,4589854331322317,724.97,63,2,298.64,2
320,CityB,5234073984839225,697.45,59,3,362.57,1
321,CityC,2433626244433614,688.99,9,1,64.96,2
322,CityC,1804454978265048,892.24,2,6,50.27,3
323,CityD,7226049392085490,829.26,11,6,438.66,10
324,CityC,5312488741813568,223.63,56,6,472.62,11
325,CityD,2038485735825831,171.7,82,4,490.41,8
326,CityE,1467361055558846,677.86,77,4,195.55,16
327,CityE,8434217186116347,902.4,8,9,306.25,8
328,CityC,3643010129570033,855.65,77,4,306.65,9
329,CityB,3532251661103046,712.68,29,6,269.84,8
330,CityC,5228997265882328,794.52,25,8,369.49,19
331,CityA,7488343385006478,715.59,25,6,496.32,12
332,CityD,8441364892100659,154.33,2,6,286.09,18
333,CityA,3687741072790445,634.05,44,4,285.25,12
334,CityC,4408521061851036,945.32,75,8,203.05,9
335,CityE,9053066724567579,808.31,81,3,246.84,2
336,CityD,9453358651191001,779.89,95,7,425.52,16
337,CityC,2396717413360132,704.2,33,5,399.4,4
338,CityB,9815281454661063,302.8,49,2,458.9,3
339,CityC,5211237880427527,756.12,76,9,431.35,17
340,CityB,1869014926374606,679.78,30,5,446.64,7
341,CityE,8732017286306299,846.21,97,8,77.74,18
342,CityB,5825936856584209,820.57,14,1,107.05,17
343,CityA,6512401568513887,636.68,55,8,208.15,2
344,CityA,8531212806779266,647.82,40,9,41.09,8
345,CityA,8207547224917423,858.92,47,5,435.74,14
346,CityA,7619558808444971,571.66,25,4,195.38,8
347,CityA,3442559135097514,493.33,91,8,38.03,12
348,CityB,8876804237155795,653.78,54,5,468.67,18
349,CityA,6417741286525331,84.11,55,6,5.74,17
350,CityD,5073505072931167,324.62,28,9,197.38,12
351,CityB,9679742354803793,320.75,11,2,329.16,3
352,CityE,5489576312206779,236.17,10,7,70.81,5
353,CityB,6104140540642953,52.43,3,2,95.9,18
354,CityC,9119687571826992,381.59,89,1,352.19,3
355,CityE,6978754946180780,359.17,32,1,177.97,5
356,CityA,6736190880881549,718.31,42,2,477.89,17
357,CityA,3500343933343001,334.73,92,5,395.65,2
358,CityC,6599075811123624,397.18,67,7,352.65,7
359,CityA,6764626953279031,902.04,21,7,459.58,3
360,CityE,3240645292350316,123.53,27,3,271.32,1
361,CityE,7952257912272493,970.55,100,2,167.23,14
362,CityE,1685179692573245,491.55,70,4,21.97,8
363,CityB,4800490445416937,465.33,96,8,417.17,8
364,CityB,7296368138845276,141.82,80,8,128.46,9
365,CityE,6717566221330195,90.11,24,6,355.02,15
366,CityB,3056168317412368,92.42,79,2,125.55,9
367,CityB,8655725205973693,658.48,31,8,285.64,12
368,CityD,4957676152049428,122.5,33,4,330.84,8
369,CityB,2983386185288128,452.53,4,9,351.41,14
370,CityD,5691016961577544,183.18,71,8,288.76,13
371,CityD,6829520908803758,112.94,55,8,70.48,16
372,CityB,2165367787523215,742.1,26,8,377.93,2
373,CityB,4625608918831792,429.37,7,9,366.6,8
374,CityB,3739549748808676,454.13,79,7,130.98,10
375,CityA,5153348516480077,316.42,99,7,425.14,15
376,CityD,4522935693449288,295.27,7,4,208.14,13
377,CityA,9714154456193249,34.15,44,5,380.4,11
378,CityE,3912431167299310,521.85,95,2,12.18,13
379,CityB,3036261714072078,491.28,62,1,473.4,13
380,CityE,5624712476991402,794.52,99,7,473.28,4
381,CityA,1446535107887035,102.24,64,4,295.74,6
382,CityD,7599113193085523,567.82,3,2,38.87,7
383,CityC,8898065385819541,257.54,56,7,73.32,3
384,CityB,3025218526684807,697.85,58,9,58.84,19
385,CityE,6769458308078004,796.33,60,5,182.15,8
386,CityE,1780521568325479,601.52,2,4,115.91,1
387,CityE,6482360652710610,697.23,4,8,231.58,18
388,CityA,6583550790959923,161.55,67,6,110.7,6
389,CityA,4984426144956863,799.33,28,9,118.99,6
390,CityC,1460716088307242,327.78,79,9,352.26,2
391,CityA,3774894736721241,310.25,70,2,40.35,15
392,CityD,2683946683788740,526.05,16,4,441.23,19
393,CityD,1360163403912358,784.45,13,6,151.44,15
394,CityE,8309670312669158,861.28,59,9,375.39,3
395,CityB,7667679930200889,485.66,5,5,407.91,13
396,CityE,3141130017274224,392.36,19,5,19.15,13
397,CityD,4269351885566124,284.32,20,5,206.42,7
398,CityD,5573166002959113,587.97,36,1,13.69,13
399,CityD,4129586649554707,797.77,4,6,364.2,13
400,CityE,7124917173209862,542.7,29,3,275.51,11
401,CityC,8710167540248872,413.01,61,8,236.68,6
402,CityB,3630264266140251,778.04,33,3,240.52,10
403,CityC,6011719661064882,969.13,32,6,499.73,18
404,CityC,8872598495455393,480.75,80,9,435.0,9
405,CityB,3761302098594013,947.7,79,2,266.28,13
406,CityD,8553838415891979,809.73,95,1,134.55,4
407,CityD,3622888868646338,606.46,77,2,161.93,2
408,CityE,4002843448479685,31.95,87,9,363.39,3
409,CityE,8958698064586362,476.81,38,5,308.93,5
410,CityC,9328998605343984,805.44,2,8,219.84,8
411,CityB,1425499196317728,835.61,16,1,41.53,3
412,CityB,6916537881536211,91.86,66,2,259.59,11
413,CityA,8765888045634013,135.0,7,6,292.72,9
414,CityA,2753878614750888,259.74,27,7,316.03,2
415,CityC,2858748061969744,656.85,76,5,208.53,12
416,CityE,2328014511720690,964.58,56,6,348.91,7
417,CityD,1079132730470821,474.07,59,1,233.69,15
418,CityD,8675722506815746,782.24,71,7,453.41,13
419,CityC,1447476710285570,629.33,90,1,96.33,17
420,CityB,1481636839175655,792.94,83,1,435.84,2
421,CityA,4907537205151334,145.37,18,8,66.58,15
422,CityE,8488762843580022,607.37,12,9,208.97,6
423,CityB,2407735286050532,568.21,71,5,265.24,18
424,CityE,8354807121929746,194.64,88,3,244.23,14
425,CityE,2285611099330004,644.49,28,7,372.74,7
426,CityC,9314528559395125,352.52,37,3,481.75,10
427,CityA,6196373050439010,682.91,58,4,414.68,4
428,CityA,1169959968768162,417.08,57,7,200.56,12
429,CityD,3354424496186934,274.54,1,5,90.24,3
430,CityB,4084209218495747,391.99,46,8,476.31,15
431,CityB,3600827447936513,966.34,3,1,60.62,7
432,CityA,9924561961123672,406.6,76,9,355.12,15
433,CityE,8986582606111824,542.09,76,7,77.59,16
434,CityD,4655382060940056,67.8,78,7,489.94,4
435,CityD,2787067116522834,498.11,49,6,480.59,8
436,CityE,1005710009521602,155.44,41,8,426.99,6
437,CityD,9595574914028909,838.15,79,7,206.66,17
438,CityE,3001709467410040,750.29,86,2,60.54,16
439,CityD,7020189938410066,473.63,60,7,242.31,4
440,CityA,2133793997364729,360.28,32,7,180.25,10
441,CityD,9213674223243790,385.04,28,1,498.86,9
442,CityD,8496460856358946,913.29,79,8,274.33,8
443,CityB,2774339269603337,986.14,41,2,36.91,5
444,CityD,1862845348089842,899.24,21,9,45.23,10
445,CityE,7689981208956399,953.05,22,4,247.98,4
446,CityA,7125128795098607,105.93,43,6,184.04,15
447,CityD,5822302094389531,948.77,73,5,340.88,18
448,CityA,6281522752470949,448.8,20,2,83.85,3
449,CityA,8545612251209129,991.67,72,6,381.52,1
450,CityD,6993276478876328,523.89,45,9,168.88,12
451,CityB,7838925452575960,588.77,24,4,282.2,17
452,CityC,5967034679807005,664.06,60,5,327.06,14
453,CityD,9024975092983937,420.84,30,5,317.72,15
454,CityC,5361597740898874,938.82,20,5,49.79,15
455,CityD,3880282291799702,960.56,28,5,17.64,16
456,CityA,6308702062059426,286.84,68,9,271.18,12
457,CityD,4993693754675813,636.23,98,5,76.15,14
458,CityC,2659514073906018,373.59,50,5,109.57,14
459,CityA,4331208747915479,814.44,3,6,450.6,1
460,CityD,6580216227525549,982.75,59,2,92.26,17
461,CityB,8663782795319351,841.2,28,1,493.94,16
462,CityE,3435430208243095,60.87,7,4,410.07,11
463,CityD,9297072233391181,337.2,90,1,315.24,16
464,CityB,6008835824038602,202.16,48,2,88.64,16
465,CityC,8795782944326182,10.5,43,3,430.95,16
466,CityB,7549915571169023,431.29,47,9,493.86,17
467,CityE,7642300186844170,489.17,21,8,278.31,4
468,CityB,5365467887816184,315.45,87,4,213.54,4
469,CityD,9240214962357814,524.64,39,2,268.62,6
470,CityB,2287607535074537,706.95,15,9,421.08,11
471,CityD,1828252990761411,153.36,34,8,125.71,2
472,CityC,2690409237455802,697.34,48,7,172.4,17
473,CityE,2946857831236043,738.72,8,2,231.12,1
474,CityB,9210957779107194,104.61,13,8,37.62,3
475,CityE,8571020977819396,895.37,53,5,113.58,13
476,CityB,8593701361964680,885.27,11,2,132.97,10
477,CityE,1919724368486140,920.12,1,2,279.18,12
478,CityB,4334834495355843,231.46,13,6,330.38,6
479,CityC,1177336728154480,765.26,33,5,144.3,9
480,CityC,4559574977766829,372.93,27,3,496.76,19
481,CityD,6208347354465113,60.45,84,5,215.6,17
482,CityB,6660050008245684,644.07,76,8,198.42,13
483,CityC,8726221984636505,708.94,76,5,435.03,12
484,CityC,4992813043106988,399.17,100,4,331.85,13
485,CityE,1223807523237074,346.76,83,7,325.11,19
486,CityC,5080205458227843,984.61,42,3,492.3,7
487,CityC,5818067345324648,426.54,23,8,440.46,13
488,CityD,5116773223166059,715.3,54,8,67.26,11
489,CityA,4329901971917888,463.03,67,1,339.2,13
490,CityE,7831222868299253,257.91,84,8,337.92,1
491,CityC,1858182696709460,767.67,29,6,190.74,17
492,CityA,6886907606120883,123.82,60,2,49.8,15
493,CityA,8016813726682871,177.4,87,2,197.23,13
494,CityC,1507419885217547,731.15,40,3,355.72,17
495,CityD,3406693680232172,213.61,64,9,93.71,2
496,CityB,9867461145144056,153.46,75,7,6.17,3
497,CityD,4206200105582232,182.14,44,3,76.65,2
498,CityC,2511349620575785,554.41,31,2,207.61,9
499,CityE,8919109445730100,589.61,44,7,480.6,3
500,CityB,5157256342961728,23.76,49,4,23.37,4
501,CityB,9704397912030787,400.85,17,4,253.91,17
502,CityC,2859935654081957,970.45,5,9,155.83,4
503,CityC,4561391665225774,646.54,50,6,45.72,11
504,CityE,6997871759821436,486.99,3,7,227.91,12
505,CityD,2591057726836903,923.09,22,3,51.91,17
506,CityE,8802322374977350,693.32,77,1,64.4,19
507,CityC,4501782488995433,439.5,28,9,102.13,16
508,CityE,4956010292333079,95.9,14,5,61.62,3
509,CityC,1699278527206775,457.46,54,7,389.8,3
510,CityB,5000601849811738,619.94,36,3,262.33,17
511,CityE,7173030156400789,267.25,18,3,86.18,13
512,CityA,6536633990419188,650.38,66,7,404.83,14
513,CityB,4841958331725913,897.06,78,4,172.3,1
514,CityA,5021722719863389,558.33,81,5,322.91,14
515,CityC,6061596916430572,827.62,56,7,402.73,17
516,CityA,7964047716447185,362.72,26,9,136.15,4
